,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
515,She's Alive,0.511,0.0337,2,-28.338,0,0.0439,0.985,0.931,0.0957,0.25,59.329,audio_features,1GLnM2xHIG9DdLGESEEA6n,spotify:track:1GLnM2xHIG9DdLGESEEA6n,https://api.spotify.com/v1/tracks/1GLnM2xHIG9DdLGESEEA6n,https://api.spotify.com/v1/audio-analysis/1GLnM2xHIG9DdLGESEEA6n,131000,4
516,Blackbird Song,0.29,0.269,9,-9.767,0,0.0325,0.434,0.631,0.106,0.192,73.66,audio_features,41FUDbrnvoc7RH0APur9jy,spotify:track:41FUDbrnvoc7RH0APur9jy,https://api.spotify.com/v1/tracks/41FUDbrnvoc7RH0APur9jy,https://api.spotify.com/v1/audio-analysis/41FUDbrnvoc7RH0APur9jy,254853,4
517,Lookalike,0.434,0.302,10,-10.117,1,0.0378,0.766,7.63e-06,0.149,0.173,121.645,audio_features,4K3gM7kzX4POAfrs71HomN,spotify:track:4K3gM7kzX4POAfrs71HomN,https://api.spotify.com/v1/tracks/4K3gM7kzX4POAfrs71HomN,https://api.spotify.com/v1/audio-analysis/4K3gM7kzX4POAfrs71HomN,220867,4
518,What Is Love ft. Dylan LeBlanc,0.572,0.317,4,-12.042,0,0.0256,0.683,0.000158,0.0888,0.353,76.895,audio_features,0lNiVU3MHSeFyrRVB0sz2R,spotify:track:0lNiVU3MHSeFyrRVB0sz2R,https://api.spotify.com/v1/tracks/0lNiVU3MHSeFyrRVB0sz2R,https://api.spotify.com/v1/audio-analysis/0lNiVU3MHSeFyrRVB0sz2R,194648,4
519,Me and My Girl,0.828,0.892,4,-4.567,0,0.193,0.115,0.0,0.217,0.712,85.95,audio_features,4lKCEA3JCKern2HNh5uX9I,spotify:track:4lKCEA3JCKern2HNh5uX9I,https://api.spotify.com/v1/tracks/4lKCEA3JCKern2HNh5uX9I,https://api.spotify.com/v1/audio-analysis/4lKCEA3JCKern2HNh5uX9I,308267,4
520,Spiegel im Spiegel,0.123,0.0644,5,-28.383,1,0.0373,0.707,0.00365,0.11,0.0711,84.208,audio_features,7zHd9LxIZB8WKosSWN9Umj,spotify:track:7zHd9LxIZB8WKosSWN9Umj,https://api.spotify.com/v1/tracks/7zHd9LxIZB8WKosSWN9Umj,https://api.spotify.com/v1/audio-analysis/7zHd9LxIZB8WKosSWN9Umj,503475,3
521,Land Of All,0.336,0.391,2,-9.099,1,0.0318,0.308,0.564,0.104,0.0759,126.973,audio_features,6nIz8ibqL7IYz8nNZFaXKk,spotify:track:6nIz8ibqL7IYz8nNZFaXKk,https://api.spotify.com/v1/tracks/6nIz8ibqL7IYz8nNZFaXKk,https://api.spotify.com/v1/audio-analysis/6nIz8ibqL7IYz8nNZFaXKk,316840,4
522,When You’re Holding Me,0.412,0.106,9,-15.327,0,0.0409,0.918,2.91e-05,0.0932,0.116,174.269,audio_features,3lIiQgEjYo9p1CU9UxpKE5,spotify:track:3lIiQgEjYo9p1CU9UxpKE5,https://api.spotify.com/v1/tracks/3lIiQgEjYo9p1CU9UxpKE5,https://api.spotify.com/v1/audio-analysis/3lIiQgEjYo9p1CU9UxpKE5,294320,3
523,About You,0.644,0.615,7,-3.632,1,0.469,0.631,0.0,0.165,0.681,119.696,audio_features,0P9lyICk63dqZSqXV2HBP0,spotify:track:0P9lyICk63dqZSqXV2HBP0,https://api.spotify.com/v1/tracks/0P9lyICk63dqZSqXV2HBP0,https://api.spotify.com/v1/audio-analysis/0P9lyICk63dqZSqXV2HBP0,170703,5
524,Every Breath You Take,0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,audio_features,1JSTJqkT5qHq8MDJnJbRE1,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/tracks/1JSTJqkT5qHq8MDJnJbRE1,https://api.spotify.com/v1/audio-analysis/1JSTJqkT5qHq8MDJnJbRE1,253920,4
